API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug 15 12:00:27 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 UT      
Step-size       : 59040 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.260814.p261110                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-14. PREDICTS-> 2026-NOV-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
 Date__(UT)__HR:MN           TDB-UT     ObsEcLon    ObsEcLat
************************************************************
$$SOE
 1907-Dec-22 00:00         8.685850  113.5316747   0.8560538
 1908-Feb-01 00:00         8.820697  291.4444893  -0.6674989
 1908-Mar-13 00:00         8.955546  115.8457526   1.2344451
 1908-Apr-23 00:00         9.090447  291.9938091  -1.2912301
 1908-Jun-03 00:00         9.225450  116.0258900   1.8708520
 1908-Jul-14 00:00         9.360602  292.4129161  -1.5669816
 1908-Aug-24 00:00         9.495954  118.2556503   2.1139396
 1908-Oct-04 00:00         9.631553  289.8720358  -1.7594606
 1908-Nov-14 00:00         9.767448  119.4364575   2.8412278
 1908-Dec-25 00:00         9.903690  292.7691891  -2.3869326
 1909-Feb-04 00:00        10.040325  119.5746107   2.9058751
 1909-Mar-17 00:00        10.177405  288.7729042  -2.3602839
 1909-Apr-27 00:00        10.314976  122.0422807   3.6322018
 1909-Jun-07 00:00        10.453089  291.9651197  -3.0587395
 1909-Jul-18 00:00        10.591791  121.2215709   3.6563629
 1909-Aug-28 00:00        10.731133  290.2707083  -3.0399838
 1909-Oct-08 00:00        10.871163  124.1801028   4.1815483
 1909-Nov-18 00:00        11.011929  291.2348415  -3.6599416
 1909-Dec-29 00:00        11.153481  123.1715661   4.3220811
 1910-Feb-08 00:00        11.295854  291.9170107  -3.7022065
 1910-Mar-21 00:00        11.439013  124.2577434   4.5577161
 1910-May-01 00:00        11.582902  291.0865420  -4.2019263
 1910-Jun-11 00:00        11.727465  125.2314510   4.8415086
 1910-Jul-22 00:00        11.872647  293.9754328  -4.2770877
 1910-Sep-01 00:00        12.018391  124.0445680   4.7713765
 1910-Oct-12 00:00        12.164640  292.7183717  -4.6635581
 1910-Nov-22 00:00        12.311340  127.0812776   5.1748884
 1911-Jan-02 00:00        12.458434  295.3225993  -4.7054903
 1911-Feb-12 00:00        12.605865  123.2448238   4.9221384
 1911-Mar-25 00:00        12.753579  295.2450430  -5.0017010
 1911-May-05 00:00        12.901519  126.3179235   5.2792768
 1911-Jun-15 00:00        13.049628  296.6204098  -5.0165549
 1911-Jul-26 00:00        13.197851  124.1044829   5.0037350
 1911-Sep-05 00:00        13.346132  298.6862590  -5.0970125
 1911-Oct-16 00:00        13.494415  124.7392219   5.2643802
 1911-Nov-26 00:00        13.642643  298.6829786  -5.1905637
 1912-Jan-06 00:00        13.790762  124.9014761   4.9700901
 1912-Feb-16 00:00        13.938713  301.2161109  -5.0132539
 1912-Mar-28 00:00        14.086443  121.8529897   5.1761777
 1912-May-08 00:00        14.233894  301.5680403  -5.1416889
 1912-Jun-18 00:00        14.381010  124.8176020   4.8557642
 1912-Jul-29 00:00        14.527737  303.4535018  -4.7641368
 1912-Sep-08 00:00        14.674016  120.7956492   4.9604655
 1912-Oct-19 00:00        14.819793  305.1964228  -4.8629033
 1912-Nov-29 00:00        14.965012  123.8634714   4.6867055
 1913-Jan-09 00:00        15.109616  305.4445851  -4.3795980
 1913-Feb-19 00:00        15.253549  120.1380126   4.6489630
 1913-Apr-01 00:00        15.396755  308.0087011  -4.3447203
